# Time (s),Altitude (m),Vertical velocity (m/s),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (m),Mach number (​)
3.732,345.835,94.932,2.59,0.013,1.176,0.28
3.742,346.784,94.81,2.59,0.013,1.176,0.28
3.752,347.731,94.688,2.59,0.013,1.176,0.279
3.762,348.678,94.567,2.59,0.013,1.176,0.279
3.772,349.623,94.445,2.59,0.013,1.176,0.279
3.782,350.567,94.323,2.59,0.013,1.176,0.278
3.792,351.509,94.202,2.59,0.013,1.176,0.278
3.802,352.451,94.08,2.59,0.013,1.176,0.278
3.812,353.391,93.958,2.59,0.013,1.176,0.277
3.822,354.33,93.837,2.59,0.013,1.176,0.277
3.832,355.268,93.716,2.59,0.013,1.176,0.276
3.842,356.204,93.594,2.59,0.013,1.176,0.276
3.852,357.139,93.473,2.59,0.013,1.176,0.276
3.862,358.074,93.352,2.59,0.013,1.176,0.275
3.872,359.006,93.231,2.59,0.013,1.176,0.275
3.882,359.938,93.11,2.59,0.013,1.176,0.275
3.892,360.869,92.989,2.59,0.013,1.176,0.274
3.902,361.798,92.868,2.59,0.013,1.176,0.274
3.912,362.726,92.747,2.59,0.013,1.176,0.274
3.922,363.653,92.626,2.59,0.013,1.176,0.273
3.932,364.579,92.505,2.59,0.013,1.176,0.273
3.942,365.503,92.385,2.59,0.013,1.176,0.273
3.952,366.426,92.264,2.59,0.013,1.176,0.272
3.962,367.348,92.144,2.59,0.013,1.176,0.272
3.972,368.269,92.023,2.59,0.013,1.176,0.272
3.982,369.189,91.903,2.59,0.013,1.176,0.271
3.992,370.107,91.782,2.59,0.013,1.176,0.271
4.002,371.024,91.662,2.59,0.013,1.176,0.27
4.012,371.94,91.542,2.59,0.013,1.176,0.27
4.022,372.855,91.421,2.59,0.013,1.176,0.27
4.032,373.769,91.301,2.59,0.013,1.176,0.269
4.042,374.681,91.181,2.59,0.013,1.176,0.269
4.052,375.592,91.061,2.59,0.013,1.176,0.269
4.062,376.502,90.941,2.59,0.013,1.176,0.268
4.072,377.411,90.821,2.59,0.013,1.176,0.268
4.082,378.319,90.701,2.59,0.013,1.176,0.268
4.092,379.225,90.582,2.59,0.013,1.176,0.267
4.102,380.131,90.462,2.59,0.013,1.176,0.267
4.112,381.035,90.342,2.59,0.013,1.176,0.267
4.122,381.937,90.223,2.59,0.013,1.176,0.266
4.132,382.839,90.103,2.59,0.013,1.176,0.266
4.142,383.739,89.984,2.59,0.013,1.176,0.266
4.152,384.639,89.864,2.59,0.013,1.176,0.265
4.162,385.537,89.745,2.59,0.013,1.176,0.265
4.172,386.434,89.625,2.59,0.013,1.176,0.264
4.182,387.329,89.506,2.59,0.013,1.176,0.264
4.192,388.224,89.387,2.59,0.013,1.176,0.264
4.202,389.117,89.268,2.59,0.013,1.176,0.263
4.212,390.009,89.149,2.59,0.013,1.176,0.263
4.222,390.9,89.03,2.59,0.013,1.176,0.263
4.232,391.79,88.911,2.59,0.013,1.176,0.262
4.242,392.678,88.792,2.59,0.013,1.176,0.262
4.252,393.566,88.673,2.59,0.013,1.176,0.262
4.262,394.452,88.554,2.59,0.013,1.176,0.261
4.272,395.337,88.435,2.59,0.013,1.176,0.261
4.282,396.22,88.317,2.59,0.013,1.176,0.261
4.292,397.103,88.198,2.59,0.013,1.176,0.26
4.302,397.984,88.08,2.59,0.013,1.176,0.26
4.312,398.865,87.961,2.59,0.013,1.176,0.26
4.322,399.744,87.843,2.59,0.013,1.176,0.259
4.332,400.621,87.724,2.59,0.013,1.176,0.259
4.342,401.498,87.606,2.59,0.013,1.176,0.259
4.352,402.373,87.488,2.59,0.013,1.176,0.258
4.362,403.248,87.369,2.59,0.013,1.176,0.258
4.372,404.121,87.251,2.59,0.013,1.176,0.258
4.382,404.993,87.133,2.59,0.013,1.176,0.257
4.392,405.864,87.015,2.59,0.013,1.176,0.257
4.402,406.733,86.897,2.59,0.013,1.176,0.256
4.412,407.601,86.779,2.59,0.013,1.176,0.256
4.422,408.469,86.661,2.59,0.013,1.176,0.256
4.432,409.335,86.543,2.59,0.013,1.176,0.255
4.442,410.2,86.425,2.59,0.013,1.176,0.255
4.452,411.063,86.308,2.59,0.013,1.176,0.255
4.462,411.926,86.19,2.59,0.013,1.176,0.254
4.472,412.787,86.072,2.59,0.013,1.176,0.254
4.482,413.647,85.955,2.59,0.013,1.176,0.254
4.492,414.506,85.837,2.59,0.013,1.176,0.253
4.502,415.364,85.72,2.59,0.013,1.176,0.253
4.512,416.22,85.602,2.59,0.013,1.176,0.253
4.522,417.076,85.485,2.59,0.013,1.176,0.252
4.532,417.93,85.368,2.59,0.013,1.176,0.252
4.542,418.783,85.25,2.59,0.013,1.176,0.252
4.552,419.635,85.133,2.59,0.013,1.176,0.251
4.562,420.486,85.016,2.59,0.013,1.176,0.251
4.572,421.336,84.899,2.59,0.013,1.176,0.251
4.582,422.184,84.782,2.59,0.013,1.176,0.25
4.592,423.031,84.665,2.59,0.013,1.176,0.25
4.602,423.877,84.548,2.59,0.013,1.176,0.25
4.612,424.722,84.431,2.59,0.013,1.176,0.249
4.622,425.566,84.314,2.59,0.013,1.176,0.249
4.632,426.408,84.198,2.59,0.013,1.176,0.249
4.642,427.25,84.081,2.59,0.013,1.176,0.248
4.652,428.09,83.964,2.59,0.013,1.176,0.248
4.662,428.929,83.848,2.59,0.013,1.176,0.248
4.672,429.767,83.731,2.59,0.013,1.176,0.247
4.682,430.604,83.615,2.59,0.013,1.176,0.247
4.692,431.439,83.498,2.59,0.013,1.176,0.247
4.702,432.274,83.382,2.59,0.013,1.176,0.246
4.712,433.107,83.265,2.59,0.013,1.176,0.246
4.722,433.939,83.149,2.59,0.013,1.176,0.246
4.732,434.77,83.033,2.59,0.013,1.176,0.245
4.742,435.6,82.917,2.59,0.013,1.176,0.245
4.752,436.428,82.8,2.59,0.013,1.176,0.244
4.762,437.256,82.684,2.59,0.013,1.176,0.244
4.772,438.082,82.568,2.59,0.013,1.176,0.244
4.782,438.907,82.452,2.59,0.013,1.176,0.243
4.792,439.731,82.336,2.59,0.013,1.176,0.243
4.802,440.554,82.221,2.59,0.013,1.176,0.243
4.812,441.375,82.105,2.59,0.013,1.176,0.242
4.822,442.196,81.989,2.59,0.013,1.176,0.242
4.832,443.015,81.873,2.59,0.013,1.176,0.242
4.842,443.833,81.758,2.59,0.013,1.176,0.241
4.852,444.65,81.642,2.59,0.013,1.176,0.241
4.862,445.466,81.526,2.59,0.013,1.176,0.241
4.872,446.281,81.411,2.59,0.013,1.176,0.24
4.882,447.094,81.295,2.59,0.013,1.176,0.24
4.892,447.907,81.18,2.59,0.013,1.176,0.24
4.902,448.718,81.064,2.59,0.013,1.176,0.239
4.912,449.528,80.949,2.59,0.013,1.176,0.239
4.922,450.337,80.834,2.59,0.013,1.176,0.239
4.932,451.145,80.719,2.59,0.013,1.176,0.238
4.942,451.951,80.603,2.59,0.013,1.176,0.238
4.952,452.757,80.488,2.59,0.013,1.176,0.238
4.962,453.561,80.373,2.59,0.013,1.176,0.237
4.972,454.364,80.258,2.59,0.013,1.176,0.237
4.982,455.166,80.143,2.59,0.013,1.176,0.237
4.992,455.967,80.028,2.59,0.013,1.176,0.236
5.002,456.767,79.913,2.59,0.013,1.176,0.236
5.012,457.565,79.799,2.59,0.013,1.176,0.236
5.022,458.363,79.684,2.59,0.013,1.176,0.235
5.032,459.159,79.569,2.59,0.013,1.176,0.235
5.042,459.954,79.454,2.59,0.013,1.176,0.235
5.052,460.748,79.34,2.59,0.013,1.176,0.234
5.062,461.541,79.225,2.59,0.013,1.176,0.234
5.072,462.333,79.111,2.59,0.013,1.176,0.234
5.082,463.123,78.996,2.59,0.013,1.176,0.233
5.092,463.913,78.882,2.59,0.013,1.176,0.233
5.102,464.701,78.767,2.59,0.013,1.176,0.233
5.112,465.488,78.653,2.59,0.013,1.176,0.232
5.122,466.274,78.539,2.59,0.013,1.176,0.232
5.132,467.059,78.424,2.59,0.013,1.176,0.232
5.142,467.842,78.31,2.59,0.013,1.176,0.231
5.152,468.625,78.196,2.59,0.013,1.176,0.231
5.162,469.406,78.082,2.59,0.013,1.176,0.231
5.172,470.187,77.968,2.59,0.013,1.176,0.23
5.182,470.966,77.854,2.59,0.013,1.176,0.23
5.192,471.744,77.74,2.59,0.013,1.176,0.23
5.202,472.52,77.626,2.59,0.013,1.176,0.229
5.212,473.296,77.512,2.59,0.013,1.176,0.229
5.222,474.071,77.398,2.59,0.013,1.176,0.229
5.232,474.844,77.285,2.59,0.013,1.176,0.228
5.242,475.616,77.171,2.59,0.013,1.176,0.228
5.252,476.387,77.057,2.59,0.013,1.176,0.228
5.262,477.157,76.943,2.59,0.013,1.176,0.227
5.272,477.926,76.83,2.59,0.013,1.176,0.227
5.282,478.694,76.716,2.59,0.013,1.176,0.227
5.292,479.461,76.603,2.59,0.013,1.176,0.226
5.302,480.226,76.489,2.59,0.013,1.176,0.226
5.312,480.99,76.376,2.59,0.013,1.176,0.226
5.322,481.754,76.263,2.59,0.013,1.176,0.225
5.332,482.516,76.149,2.59,0.013,1.176,0.225
5.342,483.277,76.036,2.59,0.013,1.176,0.225
5.352,484.036,75.923,2.59,0.013,1.176,0.224
5.362,484.795,75.81,2.59,0.013,1.176,0.224
5.372,485.553,75.696,2.59,0.013,1.176,0.224
5.382,486.309,75.583,2.59,0.013,1.176,0.223
5.392,487.064,75.47,2.59,0.013,1.176,0.223
5.402,487.818,75.357,2.59,0.013,1.176,0.223
5.412,488.571,75.244,2.59,0.013,1.176,0.222
5.422,489.323,75.132,2.59,0.013,1.176,0.222
5.432,490.074,75.019,2.59,0.013,1.176,0.222
5.442,490.824,74.906,2.59,0.013,1.176,0.221
5.452,491.572,74.793,2.59,0.013,1.176,0.221
5.462,492.32,74.68,2.59,0.013,1.176,0.221
5.472,493.066,74.568,2.59,0.013,1.176,0.22
5.482,493.811,74.455,2.59,0.013,1.176,0.22
5.492,494.555,74.342,2.59,0.013,1.176,0.22
5.502,495.298,74.23,2.59,0.013,1.176,0.219
5.512,496.04,74.117,2.59,0.013,1.176,0.219
5.522,496.78,74.005,2.59,0.013,1.176,0.219
5.532,497.52,73.893,2.59,0.013,1.176,0.218
5.542,498.258,73.78,2.59,0.013,1.176,0.218
5.552,498.995,73.668,2.59,0.013,1.176,0.218
5.562,499.731,73.556,2.59,0.013,1.176,0.217
5.572,500.466,73.443,2.59,0.013,1.176,0.217
5.582,501.2,73.331,2.59,0.013,1.176,0.217
5.592,501.933,73.219,2.59,0.013,1.176,0.216
5.602,502.665,73.107,2.59,0.013,1.176,0.216
5.612,503.395,72.995,2.59,0.013,1.176,0.216
5.622,504.124,72.883,2.59,0.013,1.176,0.215
5.632,504.853,72.771,2.59,0.013,1.176,0.215
5.642,505.58,72.659,2.59,0.013,1.176,0.215
5.652,506.306,72.547,2.59,0.013,1.176,0.214
5.662,507.031,72.435,2.59,0.013,1.176,0.214
5.672,507.755,72.323,2.59,0.013,1.176,0.214
5.682,508.477,72.212,2.59,0.013,1.176,0.213
5.692,509.199,72.1,2.59,0.013,1.176,0.213
5.702,509.919,71.988,2.59,0.013,1.176,0.213
5.712,510.639,71.876,2.59,0.013,1.176,0.212
5.722,511.357,71.765,2.59,0.013,1.176,0.212
5.732,512.074,71.653,2.59,0.013,1.176,0.212
5.742,512.79,71.542,2.59,0.013,1.176,0.211
5.752,513.505,71.43,2.59,0.013,1.176,0.211
5.762,514.218,71.319,2.59,0.013,1.176,0.211
5.772,514.931,71.208,2.59,0.013,1.176,0.21
5.782,515.643,71.096,2.59,0.013,1.176,0.21
5.792,516.353,70.985,2.59,0.013,1.176,0.21
5.802,517.062,70.874,2.59,0.013,1.176,0.209
5.812,517.771,70.762,2.59,0.013,1.176,0.209
5.822,518.478,70.651,2.59,0.013,1.176,0.209
5.832,519.184,70.54,2.59,0.013,1.176,0.208
5.842,519.888,70.429,2.59,0.013,1.176,0.208
5.852,520.592,70.318,2.59,0.013,1.176,0.208
5.862,521.295,70.207,2.59,0.013,1.176,0.208
5.872,521.996,70.096,2.59,0.013,1.176,0.207
5.882,522.697,69.985,2.59,0.013,1.176,0.207
5.892,523.396,69.874,2.59,0.013,1.176,0.207
5.902,524.094,69.763,2.59,0.013,1.176,0.206
5.912,524.791,69.653,2.59,0.013,1.176,0.206
5.922,525.487,69.542,2.59,0.013,1.176,0.206
5.932,526.182,69.431,2.59,0.013,1.176,0.205
5.942,526.876,69.32,2.59,0.013,1.176,0.205
5.952,527.568,69.21,2.59,0.013,1.176,0.205
5.962,528.26,69.099,2.59,0.013,1.176,0.204
5.972,528.95,68.989,2.59,0.013,1.176,0.204
5.982,529.64,68.878,2.59,0.013,1.176,0.204
5.992,530.328,68.768,2.59,0.013,1.176,0.203
6.002,531.015,68.657,2.59,0.013,1.176,0.203
6.012,531.701,68.547,2.59,0.013,1.176,0.203
6.022,532.386,68.436,2.59,0.013,1.176,0.202
6.032,533.07,68.326,2.59,0.013,1.176,0.202
6.042,533.753,68.216,2.59,0.013,1.176,0.202
6.052,534.434,68.106,2.59,0.013,1.176,0.201
6.062,535.115,67.995,2.59,0.013,1.176,0.201
6.072,535.794,67.885,2.59,0.013,1.176,0.201
6.082,536.472,67.775,2.59,0.013,1.176,0.2
6.092,537.15,67.665,2.59,0.013,1.176,0.2
6.102,537.826,67.555,2.59,0.013,1.176,0.2
6.112,538.501,67.445,2.59,0.013,1.176,0.199
6.122,539.175,67.335,2.59,0.013,1.176,0.199
6.132,539.847,67.225,2.59,0.013,1.176,0.199
6.142,540.519,67.115,2.59,0.013,1.176,0.198
6.152,541.19,67.005,2.59,0.013,1.176,0.198
6.162,541.859,66.895,2.59,0.013,1.176,0.198
6.172,542.528,66.786,2.59,0.013,1.176,0.197
6.182,543.195,66.676,2.59,0.013,1.176,0.197
6.192,543.861,66.566,2.59,0.013,1.176,0.197
6.202,544.526,66.457,2.59,0.013,1.176,0.196
6.212,545.19,66.347,2.59,0.013,1.176,0.196
6.222,545.853,66.237,2.59,0.013,1.176,0.196
6.232,546.515,66.128,2.59,0.013,1.176,0.196
6.242,547.176,66.018,2.59,0.013,1.176,0.195
6.252,547.835,65.909,2.59,0.013,1.176,0.195
6.262,548.494,65.799,2.59,0.013,1.176,0.195
6.272,549.151,65.69,2.59,0.013,1.176,0.194
6.282,549.808,65.581,2.59,0.013,1.176,0.194
6.292,550.463,65.471,2.59,0.013,1.176,0.194
6.302,551.117,65.362,2.59,0.013,1.176,0.193
6.312,551.77,65.253,2.59,0.013,1.176,0.193
6.322,552.422,65.144,2.59,0.013,1.176,0.193
6.332,553.073,65.034,2.59,0.013,1.176,0.192
6.342,553.723,64.925,2.59,0.013,1.176,0.192
6.352,554.372,64.816,2.59,0.013,1.176,0.192
6.362,555.019,64.707,2.59,0.013,1.176,0.191
6.372,555.666,64.598,2.59,0.013,1.176,0.191
6.382,556.311,64.489,2.59,0.013,1.176,0.191
6.392,556.956,64.38,2.59,0.013,1.176,0.19
6.402,557.599,64.271,2.59,0.013,1.176,0.19
6.412,558.241,64.163,2.59,0.013,1.176,0.19
6.422,558.882,64.054,2.59,0.013,1.176,0.189
6.432,559.522,63.945,2.59,0.013,1.176,0.189
6.442,560.161,63.836,2.59,0.013,1.176,0.189
6.452,560.799,63.727,2.59,0.013,1.176,0.188
6.462,561.435,63.619,2.59,0.013,1.176,0.188
6.472,562.071,63.51,2.59,0.013,1.176,0.188
6.482,562.706,63.401,2.59,0.013,1.176,0.187
6.492,563.339,63.293,2.59,0.013,1.176,0.187
6.502,563.972,63.184,2.59,0.013,1.176,0.187
6.512,564.603,63.076,2.59,0.013,1.176,0.187
6.522,565.233,62.967,2.59,0.013,1.176,0.186
6.532,565.862,62.859,2.59,0.013,1.176,0.186
6.542,566.49,62.751,2.59,0.013,1.176,0.186
6.552,567.117,62.642,2.59,0.013,1.176,0.185
6.562,567.743,62.534,2.59,0.013,1.176,0.185
6.572,568.368,62.426,2.59,0.013,1.176,0.185
6.582,568.992,62.317,2.59,0.013,1.176,0.184
6.592,569.614,62.209,2.59,0.013,1.176,0.184
6.602,570.236,62.101,2.59,0.013,1.176,0.184
6.612,570.856,61.993,2.59,0.013,1.176,0.183
6.622,571.476,61.885,2.59,0.013,1.176,0.183
6.632,572.094,61.777,2.59,0.013,1.176,0.183
6.642,572.711,61.668,2.59,0.013,1.176,0.182
6.652,573.327,61.56,2.59,0.013,1.176,0.182
6.662,573.942,61.452,2.59,0.013,1.176,0.182
6.672,574.556,61.345,2.59,0.013,1.176,0.181
6.682,575.169,61.237,2.59,0.013,1.176,0.181
6.692,575.781,61.129,2.59,0.013,1.176,0.181
6.702,576.392,61.021,2.59,0.013,1.176,0.18
6.712,577.002,60.913,2.59,0.013,1.176,0.18
6.722,577.61,60.805,2.59,0.013,1.176,0.18
6.732,578.218,60.698,2.59,0.013,1.176,0.18
6.742,578.824,60.59,2.59,0.013,1.176,0.179
6.752,579.429,60.482,2.59,0.013,1.176,0.179
6.762,580.034,60.375,2.59,0.013,1.176,0.179
6.772,580.637,60.267,2.59,0.013,1.176,0.178
6.782,581.239,60.159,2.59,0.013,1.176,0.178
6.792,581.84,60.052,2.59,0.013,1.176,0.178
6.802,582.44,59.944,2.59,0.013,1.176,0.177
6.812,583.039,59.837,2.59,0.013,1.176,0.177
6.822,583.637,59.73,2.59,0.013,1.176,0.177
6.832,584.234,59.622,2.59,0.013,1.176,0.176
6.842,584.829,59.515,2.59,0.013,1.176,0.176
6.852,585.424,59.407,2.59,0.013,1.176,0.176
6.862,586.017,59.3,2.59,0.013,1.176,0.175
6.872,586.61,59.193,2.59,0.013,1.176,0.175
6.882,587.201,59.086,2.59,0.013,1.176,0.175
6.892,587.792,58.978,2.59,0.013,1.176,0.174
6.902,588.381,58.871,2.59,0.013,1.176,0.174
6.912,588.969,58.764,2.59,0.013,1.176,0.174
6.922,589.556,58.657,2.59,0.013,1.176,0.174
6.932,590.142,58.55,2.59,0.013,1.176,0.173
6.942,590.727,58.443,2.59,0.013,1.176,0.173
6.952,591.311,58.336,2.59,0.013,1.176,0.173
6.962,591.894,58.229,2.59,0.013,1.176,0.172
6.972,592.476,58.122,2.59,0.013,1.176,0.172
6.982,593.056,58.015,2.59,0.013,1.176,0.172
6.992,593.636,57.908,2.59,0.013,1.176,0.171
7.002,594.214,57.801,2.59,0.013,1.176,0.171
7.012,594.792,57.695,2.59,0.013,1.176,0.171
7.022,595.368,57.588,2.59,0.013,1.176,0.17
7.032,595.944,57.481,2.59,0.013,1.176,0.17
7.042,596.518,57.374,2.59,0.013,1.176,0.17
7.052,597.091,57.268,2.59,0.013,1.176,0.169
7.062,597.663,57.161,2.59,0.013,1.176,0.169
7.072,598.234,57.055,2.59,0.013,1.176,0.169
7.082,598.804,56.948,2.59,0.013,1.176,0.168
7.092,599.373,56.841,2.59,0.013,1.176,0.168
7.102,599.941,56.735,2.59,0.013,1.176,0.168
7.112,600.508,56.628,2.59,0.013,1.176,0.168
7.122,601.074,56.522,2.59,0.013,1.176,0.167
7.132,601.639,56.416,2.59,0.013,1.176,0.167
7.142,602.202,56.309,2.59,0.013,1.176,0.167
7.152,602.765,56.203,2.59,0.013,1.176,0.166
7.162,603.326,56.096,2.59,0.013,1.176,0.166
7.172,603.887,55.99,2.59,0.013,1.176,0.166
7.182,604.446,55.884,2.59,0.013,1.176,0.165
7.192,605.004,55.778,2.59,0.013,1.176,0.165
7.202,605.562,55.671,2.59,0.013,1.176,0.165
7.212,606.118,55.565,2.59,0.013,1.176,0.164
7.222,606.673,55.459,2.59,0.013,1.176,0.164
7.232,607.227,55.353,2.59,0.013,1.176,0.164
7.242,607.78,55.247,2.59,0.013,1.176,0.163
7.252,608.332,55.141,2.59,0.013,1.176,0.163
7.262,608.883,55.035,2.59,0.013,1.176,0.163
7.272,609.433,54.929,2.59,0.013,1.176,0.163
7.282,609.981,54.823,2.59,0.013,1.176,0.162
7.292,610.529,54.717,2.59,0.013,1.176,0.162
7.302,611.076,54.611,2.59,0.013,1.176,0.162
7.312,611.621,54.505,2.59,0.013,1.176,0.161
7.322,612.166,54.399,2.59,0.013,1.176,0.161
7.332,612.709,54.294,2.59,0.013,1.176,0.161
7.342,613.252,54.188,2.59,0.013,1.176,0.16
7.352,613.793,54.082,2.59,0.013,1.176,0.16
7.362,614.333,53.976,2.59,0.013,1.176,0.16
7.372,614.873,53.871,2.59,0.013,1.176,0.159
7.382,615.411,53.765,2.59,0.013,1.176,0.159
7.392,615.948,53.659,2.59,0.013,1.176,0.159
7.402,616.484,53.554,2.59,0.013,1.176,0.158
7.412,617.019,53.448,2.59,0.013,1.176,0.158
7.422,617.553,53.343,2.59,0.013,1.176,0.158
7.432,618.086,53.237,2.59,0.013,1.176,0.158
7.442,618.618,53.132,2.59,0.013,1.176,0.157
7.452,619.148,53.026,2.59,0.013,1.176,0.157
7.462,619.678,52.921,2.59,0.013,1.176,0.157
7.472,620.207,52.815,2.59,0.013,1.176,0.156
7.482,620.734,52.71,2.59,0.013,1.176,0.156
7.492,621.261,52.605,2.59,0.013,1.176,0.156
7.502,621.787,52.499,2.59,0.013,1.176,0.155
7.512,622.311,52.394,2.59,0.013,1.176,0.155
7.522,622.834,52.289,2.59,0.013,1.176,0.155
7.532,623.357,52.184,2.59,0.013,1.176,0.154
7.542,623.878,52.079,2.59,0.013,1.176,0.154
7.552,624.398,51.973,2.59,0.013,1.176,0.154
7.562,624.918,51.868,2.59,0.013,1.176,0.153
7.572,625.436,51.763,2.59,0.013,1.176,0.153
7.582,625.953,51.658,2.59,0.013,1.176,0.153
7.592,626.469,51.553,2.59,0.013,1.176,0.153
7.602,626.984,51.448,2.59,0.013,1.176,0.152
7.612,627.498,51.343,2.59,0.013,1.176,0.152
7.622,628.011,51.238,2.59,0.013,1.176,0.152
7.632,628.523,51.133,2.59,0.013,1.176,0.151
7.642,629.033,51.028,2.59,0.013,1.176,0.151
7.652,629.543,50.923,2.59,0.013,1.176,0.151
7.662,630.052,50.818,2.59,0.013,1.176,0.15
7.672,630.56,50.714,2.59,0.013,1.176,0.15
7.682,631.066,50.609,2.59,0.013,1.176,0.15
7.692,631.572,50.504,2.59,0.013,1.176,0.149
7.702,632.076,50.399,2.59,0.013,1.176,0.149
7.712,632.58,50.295,2.59,0.013,1.176,0.149
7.722,633.082,50.19,2.59,0.013,1.176,0.149
7.732,633.583,50.085,2.59,0.013,1.176,0.148
7.742,634.084,49.981,2.59,0.013,1.176,0.148
7.752,634.583,49.876,2.59,0.013,1.176,0.148
7.762,635.081,49.772,2.59,0.013,1.176,0.147
7.772,635.579,49.667,2.59,0.013,1.176,0.147
7.782,636.075,49.562,2.59,0.013,1.176,0.147
7.792,636.57,49.458,2.59,0.013,1.176,0.146
7.802,637.064,49.353,2.59,0.013,1.176,0.146
7.812,637.557,49.249,2.59,0.013,1.176,0.146
7.822,638.049,49.145,2.59,0.013,1.176,0.145
7.832,638.54,49.04,2.59,0.013,1.176,0.145
7.842,639.03,48.936,2.59,0.013,1.176,0.145
7.852,639.518,48.832,2.59,0.013,1.176,0.145
7.862,640.006,48.727,2.59,0.013,1.176,0.144
7.872,640.493,48.623,2.59,0.013,1.176,0.144
7.882,640.979,48.519,2.59,0.013,1.176,0.144
7.892,641.463,48.414,2.59,0.013,1.176,0.143
7.902,641.947,48.31,2.59,0.013,1.176,0.143
7.912,642.43,48.206,2.59,0.013,1.176,0.143
7.922,642.911,48.102,2.59,0.013,1.176,0.142
7.932,643.392,47.998,2.59,0.013,1.176,0.142
7.942,643.871,47.894,2.59,0.013,1.176,0.142
7.952,644.349,47.79,2.59,0.013,1.176,0.141
7.962,644.827,47.686,2.59,0.013,1.176,0.141
7.972,645.303,47.582,2.59,0.013,1.176,0.141
7.982,645.778,47.478,2.59,0.013,1.176,0.141
7.992,646.253,47.374,2.59,0.013,1.176,0.14
8.002,646.726,47.27,2.59,0.013,1.176,0.14
8.012,647.198,47.166,2.59,0.013,1.176,0.14
8.022,647.669,47.062,2.59,0.013,1.176,0.139
8.032,648.139,46.958,2.59,0.013,1.176,0.139
8.042,648.608,46.854,2.59,0.013,1.176,0.139
8.052,649.076,46.75,2.59,0.013,1.176,0.138
8.062,649.543,46.647,2.59,0.013,1.176,0.138
8.072,650.009,46.543,2.59,0.013,1.176,0.138
8.082,650.474,46.439,2.59,0.013,1.176,0.137
8.092,650.938,46.335,2.59,0.013,1.176,0.137
8.102,651.401,46.232,2.59,0.013,1.176,0.137
8.112,651.863,46.128,2.59,0.013,1.176,0.137
8.122,652.324,46.024,2.59,0.013,1.176,0.136
8.132,652.783,45.921,2.59,0.013,1.176,0.136
8.142,653.242,45.817,2.59,0.013,1.176,0.136
8.152,653.7,45.714,2.59,0.013,1.176,0.135
8.162,654.156,45.61,2.59,0.013,1.176,0.135
8.172,654.612,45.507,2.59,0.013,1.176,0.135
8.182,655.066,45.403,2.59,0.013,1.176,0.134
8.192,655.52,45.3,2.59,0.013,1.176,0.134
8.202,655.972,45.196,2.59,0.013,1.176,0.134
8.212,656.424,45.093,2.59,0.013,1.176,0.133
8.222,656.874,44.989,2.59,0.013,1.176,0.133
8.232,657.324,44.886,2.59,0.013,1.176,0.133
8.242,657.772,44.783,2.59,0.013,1.176,0.133
8.252,658.219,44.679,2.59,0.013,1.176,0.132
8.262,658.666,44.576,2.59,0.013,1.176,0.132
8.272,659.111,44.473,2.59,0.013,1.176,0.132
8.282,659.555,44.37,2.59,0.013,1.176,0.131
8.292,659.998,44.266,2.59,0.013,1.176,0.131
8.302,660.44,44.163,2.59,0.013,1.176,0.131
8.312,660.881,44.06,2.59,0.013,1.176,0.13
8.322,661.322,43.957,2.59,0.013,1.176,0.13
8.332,661.761,43.854,2.59,0.013,1.176,0.13
8.342,662.199,43.751,2.59,0.013,1.176,0.13
8.352,662.636,43.648,2.59,0.013,1.176,0.129
8.362,663.072,43.545,2.59,0.013,1.176,0.129
8.372,663.507,43.442,2.59,0.013,1.176,0.129
8.382,663.94,43.339,2.59,0.013,1.176,0.128
8.392,664.373,43.236,2.59,0.013,1.176,0.128
8.402,664.805,43.133,2.59,0.013,1.176,0.128
8.412,665.236,43.03,2.59,0.013,1.176,0.127
8.422,665.666,42.927,2.59,0.013,1.176,0.127
8.432,666.094,42.824,2.59,0.013,1.176,0.127
8.442,666.522,42.721,2.59,0.013,1.176,0.126
8.452,666.949,42.618,2.59,0.013,1.176,0.126
8.462,667.375,42.515,2.59,0.013,1.176,0.126
8.472,667.799,42.413,2.59,0.013,1.176,0.126
8.482,668.223,42.31,2.59,0.013,1.176,0.125
8.492,668.645,42.207,2.59,0.013,1.176,0.125
8.502,669.067,42.104,2.59,0.013,1.176,0.125
8.512,669.487,42.002,2.59,0.013,1.176,0.124
8.522,669.907,41.899,2.59,0.013,1.176,0.124
8.532,670.325,41.796,2.59,0.013,1.176,0.124
8.542,670.743,41.694,2.59,0.013,1.176,0.123
8.552,671.159,41.591,2.59,0.013,1.176,0.123
8.562,671.575,41.488,2.59,0.013,1.176,0.123
8.572,671.989,41.386,2.59,0.013,1.176,0.123
8.582,672.402,41.283,2.59,0.013,1.176,0.122
8.592,672.815,41.181,2.59,0.013,1.176,0.122
8.602,673.226,41.078,2.59,0.013,1.176,0.122
8.612,673.636,40.976,2.59,0.013,1.176,0.121
8.622,674.046,40.873,2.59,0.013,1.176,0.121
8.632,674.454,40.771,2.59,0.013,1.176,0.121
8.642,674.861,40.668,2.59,0.013,1.176,0.12
8.652,675.267,40.566,2.59,0.013,1.176,0.12
8.662,675.672,40.464,2.59,0.013,1.176,0.12
8.672,676.076,40.361,2.59,0.013,1.176,0.12
8.682,676.48,40.259,2.59,0.013,1.176,0.119
8.692,676.882,40.157,2.59,0.013,1.176,0.119
