Time (s),Canard 1 Deflection (deg),Canard 2 Deflection (deg),Canard 3 Deflection (deg),Canard 4 Deflection (deg)
4.151,-15,-15,-15,-15.36
4.161,-15,-15,-15,-15.36
4.172,-15,-15,-15,-15.36
4.182,-15,-15,-15,-15.36
4.193,-11.81,-15,-15,-15.36
4.203,-2.78,-2.53,-15,-15.36
4.214,7.85,11.62,-15,-15.36
4.224,14.26,15,-2.03,5.12
4.235,15,15,12.68,12.8
4.246,15,15,15,12.8
4.257,15,15,15,12.8
4.267,15,15,15,12.8
4.278,15,15,15,12.8
4.289,15,15,15,12.8
4.3,15,15,15,12.8
4.311,15,15,15,12.8
4.322,15,15,15,12.8
4.333,15,15,15,12.8
4.343,15,15,15,12.8
4.354,15,15,-15,-15.36
4.365,15,15,-15,-15.36
4.376,15,15,-15,-15.36
4.387,-15,15,-15,-15.36
4.397,-15,15,-15,-15.36
4.408,-15,15,-15,-15.36
4.419,-15,15,-15,12.8
4.43,-15,15,-15,12.8
4.44,-15,15,-15,12.8
4.451,-15,15,-15,12.8
4.462,-15,-15,-15,12.8
4.472,-15,-15,15,12.8
4.483,-15,-15,15,12.8
4.494,-15,15,15,-15.36
4.505,-15,15,15,-15.36
4.515,-15,15,15,-15.36
4.526,-15,14.85,15,-15.36
4.537,15,-15,15,-15.36
4.548,15,-15,-15,-15.36
4.559,15,-15,-15,-15.36
4.57,15,-15,-15,-15.36
4.58,15,-15,-15,-15.36
4.591,-15,-15,-15,-15.36
4.602,-15,-15,15,-15.36
4.613,-15,-15,15,-15.36
4.624,-15,15,15,-15.36
4.634,-15,15,-15,-15.36
4.645,-15,-15,-15,12.8
4.656,-15,-15,-15,12.8
4.667,-15,-15,-15,12.8
4.678,-15,-15,-15,12.8
4.689,-15,-15,-15,12.8
4.7,-15,11.28,-15,12.8
4.711,-15,15,-15,-15.36
4.722,-15,15,-15,-15.36
4.733,-15,-0.81,-15,12.8
4.743,15,-15,-15,12.8
4.754,15,-15,-15,12.8
4.765,15,-15,-15,12.8
4.776,15,-15,-15,12.8
4.787,15,-15,-15,12.8
4.798,-15,-15,3.51,12.8
4.808,-15,-15,15,0
4.819,-15,-15,15,-15.36
4.83,-15,-15,15,-15.36
4.841,-15,-15,-15,12.8
4.852,-15,-15,-15,12.8
4.863,-15,-15,-15,12.8
4.873,15,-15,-15,12.8
4.884,15,-5.37,-15,12.8
4.895,15,15,-15,-15.36
4.906,-9.06,15,-15,-15.36
4.917,-15,15,-15,7.68
4.928,-15,15,-15,12.8
4.939,15,-15,-15,12.8
4.949,15,-15,-15,12.8
4.96,15,-15,-15,12.8
4.971,15,-15,-1.41,12.8
4.982,-15,-15,15,12.8
4.993,-15,-15,15,12.8
5.003,15,-15,15,-15.36
